revenue_target,cost_budget,period,period_start,program_id
10000.0,0,monthly,2026-04-01,CCB-P1
2083.33,0,monthly,2026-04-01,PD-P1
10000.0,0,monthly,2026-05-01,CCB-P1
2083.33,0,monthly,2026-05-01,PD-P1
10000.0,0,monthly,2026-06-01,CCB-P1
2083.33,0,monthly,2026-06-01,PD-P1
10000.0,0,monthly,2026-07-01,CCB-P1
2083.33,0,monthly,2026-07-01,PD-P1
10000.0,0,monthly,2026-08-01,CCB-P1
2083.33,0,monthly,2026-08-01,PD-P1
10000.0,0,monthly,2026-09-01,CCB-P1
2083.33,0,monthly,2026-09-01,PD-P1
10000.0,0,monthly,2026-10-01,CCB-P1
2083.33,0,monthly,2026-10-01,PD-P1
10000.0,0,monthly,2026-11-01,CCB-P1
2083.33,0,monthly,2026-11-01,PD-P1
10000.0,0,monthly,2026-12-01,CCB-P1
2083.33,0,monthly,2026-12-01,PD-P1
10000.0,0,monthly,2027-01-01,CCB-P1
2083.33,0,monthly,2027-01-01,PD-P1
10000.0,0,monthly,2027-02-01,CCB-P1
2083.33,0,monthly,2027-02-01,PD-P1
10000.0,0,monthly,2027-03-01,CCB-P1
2083.33,0,monthly,2027-03-01,PD-P1
12500.0,0,monthly,2027-04-01,CCB-P1
8333.33,0,monthly,2027-04-01,PD-P1
12500.0,0,monthly,2027-05-01,CCB-P1
8333.33,0,monthly,2027-05-01,PD-P1
12500.0,0,monthly,2027-06-01,CCB-P1
8333.33,0,monthly,2027-06-01,PD-P1
12500.0,0,monthly,2027-07-01,CCB-P1
8333.33,0,monthly,2027-07-01,PD-P1
12500.0,0,monthly,2027-08-01,CCB-P1
8333.33,0,monthly,2027-08-01,PD-P1
12500.0,0,monthly,2027-09-01,CCB-P1
8333.33,0,monthly,2027-09-01,PD-P1
12500.0,0,monthly,2027-10-01,CCB-P1
8333.33,0,monthly,2027-10-01,PD-P1
12500.0,0,monthly,2027-11-01,CCB-P1
8333.33,0,monthly,2027-11-01,PD-P1
12500.0,0,monthly,2027-12-01,CCB-P1
8333.33,0,monthly,2027-12-01,PD-P1
12500.0,0,monthly,2028-01-01,CCB-P1
8333.33,0,monthly,2028-01-01,PD-P1
12500.0,0,monthly,2028-02-01,CCB-P1
8333.33,0,monthly,2028-02-01,PD-P1
12500.0,0,monthly,2028-03-01,CCB-P1
8333.33,0,monthly,2028-03-01,PD-P1
20833.33,0,monthly,2028-04-01,CCB-P1
83333.33,0,monthly,2028-04-01,PD-P1
20833.33,0,monthly,2028-05-01,CCB-P1
83333.33,0,monthly,2028-05-01,PD-P1
20833.33,0,monthly,2028-06-01,CCB-P1
83333.33,0,monthly,2028-06-01,PD-P1
20833.33,0,monthly,2028-07-01,CCB-P1
83333.33,0,monthly,2028-07-01,PD-P1
20833.33,0,monthly,2028-08-01,CCB-P1
83333.33,0,monthly,2028-08-01,PD-P1
20833.33,0,monthly,2028-09-01,CCB-P1
83333.33,0,monthly,2028-09-01,PD-P1
20833.33,0,monthly,2028-10-01,CCB-P1
83333.33,0,monthly,2028-10-01,PD-P1
20833.33,0,monthly,2028-11-01,CCB-P1
83333.33,0,monthly,2028-11-01,PD-P1
20833.33,0,monthly,2028-12-01,CCB-P1
83333.33,0,monthly,2028-12-01,PD-P1
20833.33,0,monthly,2029-01-01,CCB-P1
83333.33,0,monthly,2029-01-01,PD-P1
20833.33,0,monthly,2029-02-01,CCB-P1
83333.33,0,monthly,2029-02-01,PD-P1
20833.33,0,monthly,2029-03-01,CCB-P1
83333.33,0,monthly,2029-03-01,PD-P1
29462.78,0,monthly,2029-04-01,CCB-P1
186339.0,0,monthly,2029-04-01,PD-P1
29462.78,0,monthly,2029-05-01,CCB-P1
186339.0,0,monthly,2029-05-01,PD-P1
29462.78,0,monthly,2029-06-01,CCB-P1
186339.0,0,monthly,2029-06-01,PD-P1
29462.78,0,monthly,2029-07-01,CCB-P1
186339.0,0,monthly,2029-07-01,PD-P1
29462.78,0,monthly,2029-08-01,CCB-P1
186339.0,0,monthly,2029-08-01,PD-P1
29462.78,0,monthly,2029-09-01,CCB-P1
186339.0,0,monthly,2029-09-01,PD-P1
29462.78,0,monthly,2029-10-01,CCB-P1
186339.0,0,monthly,2029-10-01,PD-P1
29462.78,0,monthly,2029-11-01,CCB-P1
186339.0,0,monthly,2029-11-01,PD-P1
29462.78,0,monthly,2029-12-01,CCB-P1
186339.0,0,monthly,2029-12-01,PD-P1
29462.78,0,monthly,2030-01-01,CCB-P1
186339.0,0,monthly,2030-01-01,PD-P1
29462.78,0,monthly,2030-02-01,CCB-P1
186339.0,0,monthly,2030-02-01,PD-P1
29462.78,0,monthly,2030-03-01,CCB-P1
186339.0,0,monthly,2030-03-01,PD-P1
41666.67,0,monthly,2030-04-01,CCB-P1
416666.67,0,monthly,2030-04-01,PD-P1
41666.67,0,monthly,2030-05-01,CCB-P1
416666.67,0,monthly,2030-05-01,PD-P1
41666.67,0,monthly,2030-06-01,CCB-P1
416666.67,0,monthly,2030-06-01,PD-P1
41666.67,0,monthly,2030-07-01,CCB-P1
416666.67,0,monthly,2030-07-01,PD-P1
41666.67,0,monthly,2030-08-01,CCB-P1
416666.67,0,monthly,2030-08-01,PD-P1
41666.67,0,monthly,2030-09-01,CCB-P1
416666.67,0,monthly,2030-09-01,PD-P1
41666.67,0,monthly,2030-10-01,CCB-P1
416666.67,0,monthly,2030-10-01,PD-P1
41666.67,0,monthly,2030-11-01,CCB-P1
416666.67,0,monthly,2030-11-01,PD-P1
41666.67,0,monthly,2030-12-01,CCB-P1
416666.67,0,monthly,2030-12-01,PD-P1
41666.67,0,monthly,2031-01-01,CCB-P1
416666.67,0,monthly,2031-01-01,PD-P1
41666.67,0,monthly,2031-02-01,CCB-P1
416666.67,0,monthly,2031-02-01,PD-P1
41666.67,0,monthly,2031-03-01,CCB-P1
416666.67,0,monthly,2031-03-01,PD-P1
47862.43,0,monthly,2031-04-01,CCB-P1
660372.16,0,monthly,2031-04-01,PD-P1
47862.43,0,monthly,2031-05-01,CCB-P1
660372.16,0,monthly,2031-05-01,PD-P1
47862.43,0,monthly,2031-06-01,CCB-P1
660372.16,0,monthly,2031-06-01,PD-P1
47862.43,0,monthly,2031-07-01,CCB-P1
660372.16,0,monthly,2031-07-01,PD-P1
47862.43,0,monthly,2031-08-01,CCB-P1
660372.16,0,monthly,2031-08-01,PD-P1
47862.43,0,monthly,2031-09-01,CCB-P1
660372.16,0,monthly,2031-09-01,PD-P1
47862.43,0,monthly,2031-10-01,CCB-P1
660372.16,0,monthly,2031-10-01,PD-P1
47862.43,0,monthly,2031-11-01,CCB-P1
660372.16,0,monthly,2031-11-01,PD-P1
47862.43,0,monthly,2031-12-01,CCB-P1
660372.16,0,monthly,2031-12-01,PD-P1
47862.43,0,monthly,2032-01-01,CCB-P1
660372.16,0,monthly,2032-01-01,PD-P1
47862.43,0,monthly,2032-02-01,CCB-P1
660372.16,0,monthly,2032-02-01,PD-P1
47862.43,0,monthly,2032-03-01,CCB-P1
660372.16,0,monthly,2032-03-01,PD-P1
54979.5,0,monthly,2032-04-01,CCB-P1
1046619.35,0,monthly,2032-04-01,PD-P1
54979.5,0,monthly,2032-05-01,CCB-P1
1046619.35,0,monthly,2032-05-01,PD-P1
54979.5,0,monthly,2032-06-01,CCB-P1
1046619.35,0,monthly,2032-06-01,PD-P1
54979.5,0,monthly,2032-07-01,CCB-P1
1046619.35,0,monthly,2032-07-01,PD-P1
54979.5,0,monthly,2032-08-01,CCB-P1
1046619.35,0,monthly,2032-08-01,PD-P1
54979.5,0,monthly,2032-09-01,CCB-P1
1046619.35,0,monthly,2032-09-01,PD-P1
54979.5,0,monthly,2032-10-01,CCB-P1
1046619.35,0,monthly,2032-10-01,PD-P1
54979.5,0,monthly,2032-11-01,CCB-P1
1046619.35,0,monthly,2032-11-01,PD-P1
54979.5,0,monthly,2032-12-01,CCB-P1
1046619.35,0,monthly,2032-12-01,PD-P1
54979.5,0,monthly,2033-01-01,CCB-P1
1046619.35,0,monthly,2033-01-01,PD-P1
54979.5,0,monthly,2033-02-01,CCB-P1
1046619.35,0,monthly,2033-02-01,PD-P1
54979.5,0,monthly,2033-03-01,CCB-P1
1046619.35,0,monthly,2033-03-01,PD-P1
63154.86,0,monthly,2033-04-01,CCB-P1
1658779.88,0,monthly,2033-04-01,PD-P1
63154.86,0,monthly,2033-05-01,CCB-P1
1658779.88,0,monthly,2033-05-01,PD-P1
63154.86,0,monthly,2033-06-01,CCB-P1
1658779.88,0,monthly,2033-06-01,PD-P1
63154.86,0,monthly,2033-07-01,CCB-P1
1658779.88,0,monthly,2033-07-01,PD-P1
63154.86,0,monthly,2033-08-01,CCB-P1
1658779.88,0,monthly,2033-08-01,PD-P1
63154.86,0,monthly,2033-09-01,CCB-P1
1658779.88,0,monthly,2033-09-01,PD-P1
63154.86,0,monthly,2033-10-01,CCB-P1
1658779.88,0,monthly,2033-10-01,PD-P1
63154.86,0,monthly,2033-11-01,CCB-P1
1658779.88,0,monthly,2033-11-01,PD-P1
63154.86,0,monthly,2033-12-01,CCB-P1
1658779.88,0,monthly,2033-12-01,PD-P1
63154.86,0,monthly,2034-01-01,CCB-P1
1658779.88,0,monthly,2034-01-01,PD-P1
63154.86,0,monthly,2034-02-01,CCB-P1
1658779.88,0,monthly,2034-02-01,PD-P1
63154.86,0,monthly,2034-03-01,CCB-P1
1658779.88,0,monthly,2034-03-01,PD-P1
72545.88,0,monthly,2034-04-01,CCB-P1
2628988.94,0,monthly,2034-04-01,PD-P1
72545.88,0,monthly,2034-05-01,CCB-P1
2628988.94,0,monthly,2034-05-01,PD-P1
